concert_id,city,date,tick_sales,opener_ar1,opener_ar2,place
1,Glendale,17.03.2023,78600,Paramore,Gayle,State Farm Stadium
2,Glendale,18.03.2023,78600,Paramore,Gayle,State Farm Stadium
3,Las Vegas,24.03.2023,71835,Beabadoobee,Gayle,Allegiant Stadium
4,Las Vegas,25.03.2023,71835,Beabadoobee,Gayle,Allegiant Stadium
5,Arlington,31.03.2023,105000,Muna,Gayle,AT&T Stadium
6,Arlington,01.04.2023,105000,Beabadoobee,Gracie Abrams,AT&T Stadium
7,Arlington,02.04.2023,105000,Beabadoobee,Gracie Abrams,AT&T Stadium
8,Tampa,13.04.2023,75000,Beabadoobee,Gayle,Raymond James Stadium
9,Tampa,14.04.2023,75000,Beabadoobee,Gracie Abrams,Raymond James Stadium
10,Tampa,15.04.2023,75000,Beabadoobee,Gracie Abrams,Raymond James Stadium
11,Houston,21.03.2023,80000,Beabadoobee,Gracie Abrams,NRG Stadium
12,Houston,22.04.2023,80000,Beabadoobee,Gracie Abrams,NRG Stadium
13,Houston,23.04.2023,80000,Beabadoobee,Gracie Abrams,NRG Stadium
14,Atlanta,28.04.2023,75000,Beabadoobee,Gracie Abrams,Mercedes-Benz Stadium
15,Atlanta,29.04.2023,75000,Beabadoobee,Gracie Abrams,Mercedes-Benz Stadium
16,Atlanta,30.04.2023,75000,Muna,Gayle,Mercedes-Benz Stadium
17,Nashville,05.05.2023,70000,Phoebe Bridgers,Gracie Abrams,Nissan Stadium
18,Nashville,06.05.2023,70000,Phoebe Bridgers,Gayle,Nissan Stadium
19,Nashville,07.05.2023,70000,NA,NA,Nissan Stadium
20,Philadelphia,12.05.2023,70000,Phoebe Bridgers,Gayle,Lincoln Financial Field
21,Philadelphia,13.05.2023,70000,Phoebe Bridgers,Gayle,Lincoln Financial Field
22,Philadelphia,14.05.2023,70000,Phoebe Bridgers,Gracie Abrams,Lincoln Financial Field
23,Foxborough,19.05.2023,66000,Phoebe Bridgers,Gayle,Gillette Stadium
24,Foxborough,20.05.2023,66000,Phoebe Bridgers,Gayle,Gillette Stadium
25,Foxborough,21.05.2023,66000,Phoebe Bridgers,Gracie Abrams,Gillette Stadium
26,East Rutherford,26.05.2023,89000,Phoebe Bridgers,Gayle,MetLife Stadium
27,East Rutherford,27.05.2023,89000,Phoebe Bridgers,Gracie Abrams,MetLife Stadium
28,East Rutherford,28.05.2023,89000,Phoebe Bridgers,Owenn,MetLife Stadium
29,Chicago,02.06.2023,62000,Girl in Red,Owenn,Soldier Field
30,Chicago,03.06.2023,62000,Girl in Red,Owenn,Soldier Field
31,Chicago,04.06.2023,62000,Muna,Gracie Abrams,Soldier Field
32,Detroit,09.06.2023,78000,Girl in Red,Gracie Abrams,Ford Field
33,Detroit,10.06.2023,78000,Girl in Red,Owenn,Ford Field
34,Pittsburgh,16.06.2023,75000,Girl in Red,Gracie Abrams,Acrisure Stadium
35,Pittsburgh,17.06.2023,75000,Girl in Red,Owenn,Acrisure Stadium
